founder_id,course_id,course_name,skill_tag,completed,pre_score,post_score,instructor_qualification
F0015,C05,团队管理与组织建设,管理,是,72,92,创业导师
F0015,C07,知识产权与合规,合规,否,59,68,行业导师
F0016,C07,知识产权与合规,合规,是,78,88,高级讲师
F0016,C01,客户发现与需求验证,客户发现,是,65,73,创业导师
F0016,C05,团队管理与组织建设,管理,否,58,80,行业导师
F0017,C05,团队管理与组织建设,管理,是,41,64,行业导师
F0017,C04,产品经理与MVP设计,产品,是,51,62,创业导师
F0018,C02,B2B销售实战,销售,是,70,85,创业导师
F0018,C06,创业融资与路演,融资,是,61,67,创业导师
F0018,C07,知识产权与合规,合规,是,64,77,创业导师
F0018,C01,客户发现与需求验证,客户发现,否,74,96,行业导师
F0019,C05,团队管理与组织建设,管理,是,52,72,高级讲师
F0019,C03,创业财务与现金流,财务,是,51,70,高级讲师
F0019,C01,客户发现与需求验证,客户发现,是,37,46,高级讲师
F0020,C04,产品经理与MVP设计,产品,是,71,77,高级讲师
F0020,C05,团队管理与组织建设,管理,是,57,75,创业导师
F0020,C06,创业融资与路演,融资,是,63,80,高级讲师
F0020,C08,产业市场分析,市场分析,是,41,47,行业导师
F0021,C08,产业市场分析,市场分析,是,47,69,创业导师
F0021,C08,产业市场分析,市场分析,是,35,51,创业导师
F0021,C01,客户发现与需求验证,客户发现,是,37,49,创业导师
F0021,C01,客户发现与需求验证,客户发现,是,72,84,行业导师
F0022,C05,团队管理与组织建设,管理,是,68,75,创业导师
F0022,C07,知识产权与合规,合规,是,56,80,行业导师
F0022,C06,创业融资与路演,融资,是,78,86,创业导师
F0022,C02,B2B销售实战,销售,是,49,69,行业导师
F0023,C03,创业财务与现金流,财务,是,56,74,高级讲师
F0023,C03,创业财务与现金流,财务,是,47,54,高级讲师
F0024,C03,创业财务与现金流,财务,是,50,59,高级讲师
F0024,C07,知识产权与合规,合规,是,48,65,高级讲师
F0025,C01,客户发现与需求验证,客户发现,是,74,97,高级讲师
F0025,C06,创业融资与路演,融资,是,69,79,创业导师
F0026,C08,产业市场分析,市场分析,是,55,76,行业导师
F0026,C06,创业融资与路演,融资,是,66,89,创业导师
F0027,C06,创业融资与路演,融资,是,76,89,行业导师
F0027,C07,知识产权与合规,合规,是,36,44,行业导师
F0027,C07,知识产权与合规,合规,是,44,54,高级讲师
F0028,C03,创业财务与现金流,财务,是,36,56,创业导师
F0028,C05,团队管理与组织建设,管理,是,40,47,创业导师
F0029,C07,知识产权与合规,合规,是,44,59,创业导师
F0029,C08,产业市场分析,市场分析,是,77,98,行业导师
F0029,C03,创业财务与现金流,财务,是,36,54,创业导师
F0029,C06,创业融资与路演,融资,是,53,66,行业导师
F0030,C07,知识产权与合规,合规,是,74,95,高级讲师
F0030,C08,产业市场分析,市场分析,否,58,71,行业导师
F0030,C04,产品经理与MVP设计,产品,是,75,84,行业导师
F0030,C01,客户发现与需求验证,客户发现,是,76,94,高级讲师
F0031,C05,团队管理与组织建设,管理,是,71,92,行业导师
F0031,C06,创业融资与路演,融资,是,66,83,创业导师
F0031,C08,产业市场分析,市场分析,是,36,47,高级讲师
F0032,C06,创业融资与路演,融资,否,71,77,高级讲师
F0032,C06,创业融资与路演,融资,是,35,41,行业导师
F0032,C06,创业融资与路演,融资,是,58,76,行业导师
F0032,C05,团队管理与组织建设,管理,否,66,79,创业导师
F0033,C06,创业融资与路演,融资,是,69,90,高级讲师
F0033,C03,创业财务与现金流,财务,是,43,57,高级讲师
F0033,C05,团队管理与组织建设,管理,是,65,83,行业导师
F0034,C03,创业财务与现金流,财务,否,51,61,行业导师
F0034,C08,产业市场分析,市场分析,否,42,57,行业导师
F0035,C05,团队管理与组织建设,管理,是,77,88,高级讲师
F0035,C08,产业市场分析,市场分析,是,64,71,创业导师
F0035,C06,创业融资与路演,融资,是,59,67,行业导师
F0036,C07,知识产权与合规,合规,是,43,55,创业导师
F0036,C01,客户发现与需求验证,客户发现,是,65,77,创业导师
F0036,C05,团队管理与组织建设,管理,是,53,62,行业导师
F0036,C03,创业财务与现金流,财务,是,35,48,创业导师
F0037,C03,创业财务与现金流,财务,是,62,79,高级讲师
F0037,C07,知识产权与合规,合规,是,37,60,高级讲师
F0037,C03,创业财务与现金流,财务,是,63,69,高级讲师
F0037,C08,产业市场分析,市场分析,是,49,66,高级讲师
F0038,C02,B2B销售实战,销售,否,59,67,行业导师
F0038,C01,客户发现与需求验证,客户发现,是,55,61,高级讲师
F0039,C08,产业市场分析,市场分析,否,38,57,高级讲师
F0039,C02,B2B销售实战,销售,是,57,78,创业导师
F0039,C06,创业融资与路演,融资,是,65,80,行业导师
F0040,C06,创业融资与路演,融资,是,37,52,行业导师
F0040,C05,团队管理与组织建设,管理,否,50,58,高级讲师
F0041,C03,创业财务与现金流,财务,是,63,78,创业导师
F0041,C07,知识产权与合规,合规,是,66,87,创业导师
F0041,C06,创业融资与路演,融资,是,78,98,创业导师
F0041,C01,客户发现与需求验证,客户发现,是,67,88,高级讲师
F0042,C08,产业市场分析,市场分析,是,53,76,高级讲师
F0042,C03,创业财务与现金流,财务,是,47,59,创业导师
F0043,C04,产品经理与MVP设计,产品,否,72,81,行业导师
F0043,C03,创业财务与现金流,财务,是,62,76,创业导师
F0044,C01,客户发现与需求验证,客户发现,是,42,51,创业导师
F0044,C07,知识产权与合规,合规,是,44,57,高级讲师
F0044,C02,B2B销售实战,销售,是,37,52,创业导师
F0044,C02,B2B销售实战,销售,是,72,84,高级讲师
F0045,C05,团队管理与组织建设,管理,是,58,82,行业导师
F0045,C04,产品经理与MVP设计,产品,是,36,60,行业导师
F0045,C06,创业融资与路演,融资,是,38,51,高级讲师
F0045,C05,团队管理与组织建设,管理,是,39,58,行业导师
F0046,C05,团队管理与组织建设,管理,是,71,95,行业导师
F0046,C04,产品经理与MVP设计,产品,是,36,46,创业导师
F0046,C05,团队管理与组织建设,管理,是,65,71,行业导师
F0047,C03,创业财务与现金流,财务,是,72,90,创业导师
F0047,C03,创业财务与现金流,财务,是,61,83,行业导师
F0047,C08,产业市场分析,市场分析,是,55,71,行业导师
F0048,C03,创业财务与现金流,财务,是,54,70,高级讲师
F0048,C08,产业市场分析,市场分析,是,63,72,行业导师
F0048,C04,产品经理与MVP设计,产品,是,61,85,行业导师
F0049,C07,知识产权与合规,合规,是,59,83,高级讲师
F0049,C04,产品经理与MVP设计,产品,是,63,75,创业导师
F0049,C03,创业财务与现金流,财务,是,56,80,创业导师
F0049,C04,产品经理与MVP设计,产品,是,44,62,行业导师
F0050,C02,B2B销售实战,销售,是,61,70,行业导师
F0050,C06,创业融资与路演,融资,是,74,82,创业导师
F0050,C05,团队管理与组织建设,管理,是,60,70,行业导师
F0051,C07,知识产权与合规,合规,是,73,84,创业导师
F0051,C08,产业市场分析,市场分析,是,37,58,行业导师
F0051,C08,产业市场分析,市场分析,是,40,53,创业导师
F0052,C03,创业财务与现金流,财务,是,44,61,行业导师
F0052,C01,客户发现与需求验证,客户发现,是,68,77,行业导师
F0052,C06,创业融资与路演,融资,是,76,90,行业导师
F0053,C08,产业市场分析,市场分析,是,76,86,高级讲师
F0053,C07,知识产权与合规,合规,是,38,44,高级讲师
F0053,C08,产业市场分析,市场分析,是,64,73,行业导师
F0053,C06,创业融资与路演,融资,是,50,74,行业导师
F0054,C05,团队管理与组织建设,管理,是,58,81,高级讲师
F0054,C03,创业财务与现金流,财务,是,71,89,高级讲师
F0054,C03,创业财务与现金流,财务,是,36,55,行业导师
F0055,C07,知识产权与合规,合规,否,62,69,创业导师
F0055,C06,创业融资与路演,融资,是,74,80,创业导师
F0055,C06,创业融资与路演,融资,是,54,74,高级讲师
F0056,C02,B2B销售实战,销售,是,65,79,高级讲师
F0056,C04,产品经理与MVP设计,产品,是,35,46,创业导师
F0056,C07,知识产权与合规,合规,是,75,94,创业导师
F0056,C06,创业融资与路演,融资,是,37,47,创业导师
F0057,C04,产品经理与MVP设计,产品,是,35,47,行业导师
F0057,C04,产品经理与MVP设计,产品,是,54,62,行业导师
F0057,C05,团队管理与组织建设,管理,是,67,79,行业导师
F0058,C03,创业财务与现金流,财务,是,76,95,创业导师
F0058,C05,团队管理与组织建设,管理,是,51,69,行业导师
F0058,C01,客户发现与需求验证,客户发现,是,75,92,创业导师
F0058,C01,客户发现与需求验证,客户发现,是,37,50,创业导师
F0059,C08,产业市场分析,市场分析,否,53,66,创业导师
F0059,C02,B2B销售实战,销售,是,56,72,高级讲师
F0059,C05,团队管理与组织建设,管理,是,59,66,高级讲师
F0060,C08,产业市场分析,市场分析,是,73,92,高级讲师
F0060,C08,产业市场分析,市场分析,是,43,65,行业导师
F0060,C02,B2B销售实战,销售,是,40,63,行业导师
F0060,C05,团队管理与组织建设,管理,是,47,71,行业导师
F0061,C06,创业融资与路演,融资,是,53,59,创业导师
F0061,C04,产品经理与MVP设计,产品,是,73,96,行业导师
F0061,C02,B2B销售实战,销售,是,74,97,创业导师
F0062,C07,知识产权与合规,合规,是,39,53,创业导师
F0062,C01,客户发现与需求验证,客户发现,是,40,61,创业导师
F0062,C04,产品经理与MVP设计,产品,是,66,80,行业导师
F0062,C02,B2B销售实战,销售,否,71,91,高级讲师
F0063,C04,产品经理与MVP设计,产品,是,44,58,行业导师
F0063,C06,创业融资与路演,融资,否,48,69,行业导师
F0063,C02,B2B销售实战,销售,是,65,77,创业导师
F0063,C04,产品经理与MVP设计,产品,是,55,72,高级讲师
F0064,C04,产品经理与MVP设计,产品,是,56,77,高级讲师
F0064,C02,B2B销售实战,销售,是,42,61,行业导师
F0064,C03,创业财务与现金流,财务,是,56,65,创业导师
F0065,C08,产业市场分析,市场分析,是,76,98,行业导师
F0065,C06,创业融资与路演,融资,是,67,81,创业导师
F0065,C07,知识产权与合规,合规,否,49,64,高级讲师
F0066,C08,产业市场分析,市场分析,否,42,60,高级讲师
F0066,C03,创业财务与现金流,财务,是,67,79,创业导师
F0066,C02,B2B销售实战,销售,否,64,73,创业导师
F0067,C01,客户发现与需求验证,客户发现,是,45,55,创业导师
F0067,C02,B2B销售实战,销售,是,67,77,创业导师
F0067,C03,创业财务与现金流,财务,是,46,58,创业导师
F0067,C05,团队管理与组织建设,管理,否,36,58,高级讲师
F0068,C04,产品经理与MVP设计,产品,是,38,47,高级讲师
F0068,C03,创业财务与现金流,财务,是,56,63,高级讲师
F0069,C04,产品经理与MVP设计,产品,是,43,53,行业导师
F0069,C04,产品经理与MVP设计,产品,是,56,68,创业导师
F0069,C02,B2B销售实战,销售,是,59,66,创业导师
F0069,C01,客户发现与需求验证,客户发现,否,73,90,行业导师
F0070,C03,创业财务与现金流,财务,否,66,76,创业导师
F0070,C01,客户发现与需求验证,客户发现,是,45,60,高级讲师
F0070,C01,客户发现与需求验证,客户发现,是,75,83,行业导师
F0070,C05,团队管理与组织建设,管理,是,45,64,高级讲师
F0071,C03,创业财务与现金流,财务,是,64,85,创业导师
F0071,C02,B2B销售实战,销售,是,48,60,创业导师
F0071,C01,客户发现与需求验证,客户发现,是,51,65,高级讲师
F0071,C04,产品经理与MVP设计,产品,是,54,60,行业导师
F0072,C07,知识产权与合规,合规,否,44,65,创业导师
F0072,C05,团队管理与组织建设,管理,是,73,92,行业导师
F0072,C03,创业财务与现金流,财务,是,46,65,行业导师
F0073,C03,创业财务与现金流,财务,是,65,89,行业导师
F0073,C05,团队管理与组织建设,管理,是,57,80,行业导师
F0073,C05,团队管理与组织建设,管理,是,54,64,行业导师
F0074,C08,产业市场分析,市场分析,是,64,88,高级讲师
F0074,C07,知识产权与合规,合规,是,40,58,创业导师
F0074,C04,产品经理与MVP设计,产品,是,47,61,行业导师
F0074,C06,创业融资与路演,融资,是,65,71,高级讲师
F0075,C07,知识产权与合规,合规,否,43,59,行业导师
F0075,C08,产业市场分析,市场分析,是,53,65,行业导师
F0075,C06,创业融资与路演,融资,否,45,59,高级讲师
F0075,C05,团队管理与组织建设,管理,是,66,73,创业导师
F0076,C08,产业市场分析,市场分析,是,51,57,行业导师
F0076,C06,创业融资与路演,融资,否,49,69,行业导师
F0076,C08,产业市场分析,市场分析,是,70,78,行业导师
F0076,C02,B2B销售实战,销售,是,76,82,高级讲师
F0077,C01,客户发现与需求验证,客户发现,是,36,60,行业导师
F0077,C08,产业市场分析,市场分析,是,56,66,创业导师
F0077,C04,产品经理与MVP设计,产品,是,64,73,创业导师
F0077,C07,知识产权与合规,合规,是,65,71,创业导师
F0078,C07,知识产权与合规,合规,否,74,80,高级讲师
F0078,C08,产业市场分析,市场分析,是,38,54,高级讲师
F0078,C02,B2B销售实战,销售,是,62,81,高级讲师
F0079,C07,知识产权与合规,合规,是,45,67,高级讲师
F0079,C07,知识产权与合规,合规,是,49,67,行业导师
F0079,C06,创业融资与路演,融资,是,40,51,高级讲师
F0080,C03,创业财务与现金流,财务,是,55,77,行业导师
F0080,C02,B2B销售实战,销售,是,41,63,高级讲师
