founder_id,display_name,education,major,group_type,registration_status,venture_type,years_experience,city
F0049,创业者0049,硕士,设计,科研人员,已登记,科技创业,16,深圳
F0050,创业者0050,博士,材料科学,科研人员,已登记,科技创业,15,杭州
F0051,创业者0051,本科,机械工程,高校毕业生,未登记,消费服务,11,宁波
F0052,创业者0052,硕士,计算机,普通创业者,已登记,消费服务,5,武汉
F0053,创业者0053,博士,材料科学,企业技术骨干,未登记,消费服务,12,杭州
F0054,创业者0054,博士,电子信息,科研人员,已登记,消费服务,18,成都
F0055,创业者0055,本科,生物工程,企业技术骨干,未登记,消费服务,9,合肥
F0056,创业者0056,本科,电子信息,高校毕业生,未登记,科技创业,7,宁波
F0057,创业者0057,本科,机械工程,科研人员,已登记,消费服务,3,杭州
F0058,创业者0058,硕士,工商管理,返乡创业者,已登记,数字服务,13,成都
F0059,创业者0059,大专,生物工程,科研人员,已登记,科技创业,16,武汉
F0060,创业者0060,博士,设计,高校毕业生,未登记,消费服务,1,苏州
F0061,创业者0061,本科,机械工程,科研人员,未登记,文化创意,16,南京
F0062,创业者0062,博士,电子信息,高校毕业生,已登记,科技创业,7,南京
F0063,创业者0063,本科,设计,技能人才,未登记,文化创意,12,宁波
F0064,创业者0064,硕士,金融,科研人员,未登记,制造业创业,6,南京
F0065,创业者0065,本科,计算机,技能人才,已登记,文化创意,10,成都
F0066,创业者0066,博士,机械工程,高校毕业生,已登记,消费服务,1,宁波
F0067,创业者0067,博士,机械工程,高校毕业生,已登记,数字服务,14,成都
F0068,创业者0068,博士,生物工程,高校毕业生,已登记,制造业创业,7,南京
F0069,创业者0069,大专,金融,高校毕业生,已登记,科技创业,9,宁波
F0070,创业者0070,硕士,生物工程,普通创业者,已登记,科技创业,15,成都
F0071,创业者0071,博士,计算机,普通创业者,已登记,制造业创业,10,武汉
F0072,创业者0072,博士,金融,技能人才,已登记,文化创意,5,深圳
F0073,创业者0073,博士,工商管理,企业技术骨干,已登记,数字服务,8,苏州
F0074,创业者0074,大专,计算机,技能人才,已登记,消费服务,6,合肥
F0075,创业者0075,大专,机械工程,技能人才,已登记,文化创意,12,宁波
F0076,创业者0076,硕士,生物工程,返乡创业者,已登记,科技创业,14,杭州
F0077,创业者0077,硕士,工商管理,高校毕业生,未登记,文化创意,11,合肥
F0078,创业者0078,博士,设计,技能人才,已登记,数字服务,11,合肥
F0079,创业者0079,博士,计算机,科研人员,未登记,科技创业,14,苏州
F0080,创业者0080,大专,电子信息,普通创业者,已登记,制造业创业,17,合肥
